feature,importance
category,24.099717393464545
category_frequency,23.26223069574504
hour,12.731624898866581
amt,10.352063823306878
log_amount,9.549900326971775
age,6.94133750662557
is_night_transaction,1.8748829625039807
merchant_frequency,1.4191249832193185
merchant,1.2915160984825536
city_pop,1.1416041722653847
month,0.9506823982542745
city_frequency,0.7798645872361657
city,0.6809507060510981
gender_M,0.48273540798367115
gender_frequency,0.47643338080491626
job_frequency,0.4201875516668547
gender_F,0.41240756532198963
day_of_week,0.4073546444604361
cc_num,0.4016839528437392
high_value_transaction,0.36125278243497494
lat,0.30190098037833796
age_group,0.2950041062388535
long,0.22464927333901052
job,0.21845796538789844
merch_lat,0.2145609372516846
customer_merchant_distance_km,0.1837513405636673
zip,0.18216968252914173
merch_long,0.13776375850476547
state_frequency,0.1038766291520631
is_weekend,0.05421068760663728
state,0.04609880053818176
business_hours,0.0
is_far_transaction,0.0
